Datetime,CH1,CH2
2022-09-26 16:00:00,0.5042151888284189,0.08326655585638695
2022-09-26 17:00:00,0.35838331035176385,0.06605039081994932
2022-09-26 18:00:00,0.12918410338972233,0.03965263646555526
2022-09-26 19:00:00,0.00897341512364552,0.006948749707696718
2022-09-26 20:00:00,0.0020963577336110904,0.0013597151791666542
2022-09-26 21:00:00,0.0021966823512086426,0.001393164066963035
2022-09-26 22:00:00,0.0017868971572658817,0.0011646036690747372
2022-09-26 23:00:00,0.0034457293780555285,0.0021886318102777636
2022-09-27 00:00:00,0.002662832421228035,0.001848825469019172
2022-09-27 01:00:00,0.0018929688738538427,0.001231457105029168
2022-09-27 02:00:00,0.0038500211505555593,0.002484510640555534
2022-09-27 03:00:00,0.0022089038549596945,0.0012989490036121143
2022-09-27 04:00:00,0.00241284325833331,0.0014883699808333208
2022-09-27 05:00:00,0.002251770312586806,0.0012774245671019625
2022-09-27 06:00:00,0.0015812293039733087,0.0009812810589052414
2022-09-27 07:00:00,0.031694452869444424,0.013550470337777608
2022-09-27 08:00:00,0.2173145506312864,0.04568316429146949
2022-09-27 09:00:00,0.4405277383651007,0.05947659016754613
2022-09-27 10:00:00,0.6432996472519459,0.07431650440722298
2022-09-27 11:00:00,0.812670787871624,0.08336160269352626
2022-09-27 12:00:00,0.9057596045000038,0.09460029618472256
2022-09-27 13:00:00,0.9068931007013048,0.09299324144651314
2022-09-27 14:00:00,0.8499085768574649,0.09224554083050844
2022-09-27 15:00:00,0.7462773384288859,0.09714157145444507
2022-09-27 16:00:00,0.5704329425548745,0.08309446255654357
2022-09-27 17:00:00,0.35442342210972316,0.06281443196111017
2022-09-27 18:00:00,0.12460698282384058,0.03827565623423159
2022-09-27 19:00:00,0.008498053343150989,0.006598795161433908
2022-09-27 20:00:00,0.0022540078180555206,0.0014039374349999873
2022-09-27 21:00:00,0.0022234054965267753,0.0014025581961655974
2022-09-27 22:00:00,0.0014538128616666598,0.0010983022994444373
2022-09-27 23:00:00,0.0022294250325090156,0.0014319262903584211
2022-09-28 00:00:00,0.002543262317588193,0.0015066234065017902
2022-09-28 01:00:00,0.002929377491111088,0.0017320939549999807
2022-09-28 02:00:00,0.0021611123039733077,0.001284173767991099
2022-09-28 03:00:00,0.002440382789663768,0.0014081217129758216
2022-09-28 04:00:00,0.0018075909422222071,0.0011015847761111038
2022-09-28 05:00:00,0.002266545579327571,0.0013718220011114145
2022-09-28 06:00:00,0.0019877624580555346,0.0012707235097222118
2022-09-28 07:00:00,0.028382439816893576,0.015218877234509551
2022-09-28 08:00:00,0.2080166340322311,0.05615133801917172
2022-09-28 09:00:00,0.4197011015286099,0.07152557845638867
2022-09-28 10:00:00,0.6198660629196997,0.09286427719755527
2022-09-28 11:00:00,0.7794949723088885,0.09445796437277802
2022-09-28 12:00:00,0.8763279742459006,0.11110952150180549
2022-09-28 13:00:00,0.8687004873956682,0.10680107703417649
2022-09-28 14:00:00,0.8284758633058348,0.10666923371777685
2022-09-28 15:00:00,0.731142946233121,0.11036045281439322
2022-09-28 16:00:00,0.5555914869491516,0.09365083127174267
2022-09-28 17:00:00,0.3416944371641666,0.07126535099055559
2022-09-28 18:00:00,0.11504511670547372,0.04287094155654318
2022-09-28 19:00:00,0.009060132915277656,0.0074756082722222325
2022-09-28 20:00:00,0.003178598140316722,0.0021390406223950843
2022-09-28 21:00:00,0.0023443671199999583,0.0014630220116666557
2022-09-28 22:00:00,0.0025074186582383787,0.0015836918235620826
2022-09-28 23:00:00,0.002247574876354539,0.0013564995429285788
2022-09-29 00:00:00,0.0015727114616666531,0.0010763279277777751
2022-09-29 01:00:00,0.001738467165601542,0.0010823365131981057
2022-09-29 02:00:00,0.0019536203553764658,0.0011626883637121397
2022-09-29 03:00:00,0.0023811126288888775,0.0015756291788888812
2022-09-29 04:00:00,0.0017429362081133643,0.0011383365423728769
2022-09-29 05:00:00,0.002043199831666643,0.0012107271594444331
2022-09-29 06:00:00,0.001969034040844654,0.0011553919299805413
2022-09-29 07:00:00,0.02643064747874414,0.013983410893581438
2022-09-29 08:00:00,0.19898787996500011,0.05216224727555544
2022-09-29 09:00:00,0.41292813117254745,0.0791862265376497
2022-09-29 10:00:00,0.6043725996338873,0.09920861999166633
2022-09-29 11:00:00,0.7617652643111955,0.10075608458488498
2022-09-29 12:00:00,0.8640337931036431,0.11705236388941274
2022-09-29 13:00:00,0.8617341596322203,0.11193241161888816
2022-09-29 14:00:00,0.8215170500269522,0.1115487659041396
2022-09-29 15:00:00,0.7162979364159489,0.11146348899527658
2022-09-29 16:00:00,0.5464162221372214,0.0987974898011117
2022-09-29 17:00:00,0.3335921821967214,0.07313448478688529
2022-09-29 18:00:00,0.10900516965305594,0.04204656513694396
2022-09-29 19:00:00,0.006799081898582932,0.0053937913425953585
2022-09-29 20:00:00,0.0017373727065851385,0.00124066885468185
2022-09-29 21:00:00,0.0017744014474999803,0.0012052563627777731
2022-09-29 22:00:00,0.0017821544762433917,0.0011679782628507885
2022-09-29 23:00:00,0.0016252814431786406,0.0011004863628785722
2022-09-30 00:00:00,0.0016274194241666495,0.001116264753888884
2022-09-30 01:00:00,0.0021353012145040153,0.001284356186162822
2022-09-30 02:00:00,0.0024104725549999825,0.0014380387261111005
2022-09-30 03:00:00,0.002161112293414809,0.0012600043814948534
2022-09-30 04:00:00,0.0023319397435398325,0.0013796656707418613
2022-09-30 05:00:00,0.0023153719055555473,0.0013254315013888755
2022-09-30 06:00:00,0.0018815682122811542,0.0011077827816059914
