Plot Title: Sensor_22,,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 10396216, SEN S/N: 10396216)","RH, % (LGR S/N: 10396216, SEN S/N: 10396216)","Intensity, Lux (LGR S/N: 10396216, SEN S/N: 10396216)",Host Connected (LGR S/N: 10396216),Stopped (LGR S/N: 10396216),End Of File (LGR S/N: 10396216)
1,9/26/2022 17:00,78.822,56.882,784.4,,,
2,9/26/2022 17:05,78.996,56.865,760.8,,,
3,9/26/2022 17:10,79.041,56.211,737.1,,,
4,9/26/2022 17:15,78.427,56.568,713.5,,,
5,9/26/2022 17:20,78.339,57.06,681.9,,,
6,9/26/2022 17:25,78.514,56.981,658.3,,,
7,9/26/2022 17:30,78.69,56.996,626.8,,,
8,9/26/2022 17:35,78.777,56.472,595.2,,,
9,9/26/2022 17:40,78.165,56.14,563.7,,,
10,9/26/2022 17:45,77.464,55.676,540,,,
11,9/26/2022 17:50,76.681,55.519,508.5,,,
12,9/26/2022 17:55,76.071,54.875,484.9,,,
13,9/26/2022 18:00,75.463,54.952,453.3,,,
14,9/26/2022 18:05,74.813,54.399,429.7,,,
15,9/26/2022 18:10,74.25,55.322,398.1,,,
16,9/26/2022 18:15,74.424,55.523,366.6,,,
17,9/26/2022 18:20,74.554,55.128,335.1,,,
18,9/26/2022 18:25,74.034,55.055,311.4,,,
19,9/26/2022 18:30,73.774,56.31,279.9,,,
20,9/26/2022 18:35,74.077,56.149,248.3,,,
21,9/26/2022 18:40,74.034,55.523,216.8,,,
22,9/26/2022 18:45,73.558,56.044,185.3,,,
23,9/26/2022 18:50,73.602,56.668,153.7,,,
24,9/26/2022 18:55,73.904,56.476,114.3,,,
25,9/26/2022 19:00,73.947,55.92,82.8,,,
26,9/26/2022 19:05,73.472,56.843,59.1,,,
27,9/26/2022 19:10,73.558,57.005,35.5,,,
28,9/26/2022 19:15,73.818,56.81,19.7,,,
29,9/26/2022 19:20,73.99,56.328,11.8,,,
30,9/26/2022 19:25,73.515,56.661,11.8,,,
31,9/26/2022 19:30,73.515,57.311,11.8,,,
32,9/26/2022 19:35,73.731,57.051,11.8,,,
33,9/26/2022 19:40,73.947,56.635,11.8,,,
34,9/26/2022 19:45,73.515,56.909,11.8,,,
35,9/26/2022 19:50,73.429,57.582,11.8,,,
36,9/26/2022 19:55,73.645,57.26,11.8,,,
